Display Warehouse Stocks of Material (For Monthly Count) October 2025,,,,,,,,,,,,,,,,,,
No.,material,Material Description,Plant,Batch,B.Un,เบิก,,สต๊อกใหญ่,,,,,Exp.สต๊อกใหญ่,Exp.สต๊อกเล็ก,สต๊อกเล็ก,,,ราคา
,,,,,,วันที่,จำนวน,เดิม,รับเข้า,ออก,คงเหลือ,ระบบ,,,เดิม,รับเข้า,คงเหลือ,(บาท)
42,10101257,น้ำหมึกใส่แท่นประทับตรา 28 cc-BL,1030,MAT_BUY,BT,,,2,0,0,2,2,,คต,2,0,2,
43,10101259,น้ำหมึกใส่แท่นประทับตรา 28 cc-RD,1030,MAT_BUY,BT,,,3,0,0,3,3,,คต,1,0,1,
44,10101264,ใบมีดคัทเตอร์ขนาดใหญ่(1PACK=EA),1030,MAT_BUY,EA,,,6,0,1,5,5,,คต,4,1,5,
45,10101318,ปากกาเขียนแผ่นใส ลบได้ หัวF (1:4สี),1030,MAT_BUY,PAC,,,0,0,0,0,0,,,0,0,0,
46,10101334,ปากกาเขียนไวท์บอร์ด ปากกลม ไม่ระบุสี,1030,MAT_BUY,EA,,,10,0,0,10,10,,คต,0,2,2,
47,10101346,ปากกาเคมี 2 หัว-ปากกลม-ตัด ไม่ระบุสี,1030,MAT_BUY,EA,,,2,0,2,0,0,,คต,2,0,2,
48,10101359,ปากกาเน้นข้อความ (Highlight) ไม่ระบุสี,1030,MAT_BUY,EA,,,6,0,0,6,6,,คต,5,0,5,
49,10101382,ปากกาลูกลื่น 0.5 mm แบบกด-RD,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
50,10101518,แผ่นพลาสติกใสเคลือบบัตร ขนาด 22x30cm(A4),1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
51,10101551,แผ่นยางรองตัดขนาด 20x30 cm,1030,MAT_BUY,EA,,,2,0,0,2,2,,คต,0,0,0,
52,10101556,แผ่นใสชนิดเขียน ขนาด A4 (1:100แผ่น),1030,MAT_BUY,BOX,,,3,0,0,3,3,,คต,1,0,1,
53,10101566,พลาสติกเคลือบบัตร ขนาด A4,1030,MAT_BUY,EA,,,100,0,0,100,100,,คต,0,0,0,
54,10101656,แฟ้มพลาสติก 2 ห่วง สันกว้าง 3.5 cm (A4),1030,MAT_BUY,EA,,,24,0,0,24,24,,คต,0,0,0,
55,10101673,"แฟ้มกระดาษ 2 ห่วง สันกว้าง 3""",1030,MAT_BUY,EA,,,8,0,0,8,8,,คต,0,0,0,
56,10101704,แฟ้มเสนอลงนาม ขนาด 27x38 cm (F4),1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
57,10101717,มีดคัทเตอร์ชนิดด้ามพลาสติกขนาดใหญ่,1030,MAT_BUY,EA,,,5,0,0,5,5,,คต,0,0,0,
58,10101730,"ไม้บรรทัดพลาสติก ขนาด 12 """,1030,MAT_BUY,EA,,,6,0,0,6,6,,คต,0,0,0,
59,10101733,ยางลบดินสอชนิดก้อนเล็ก,1030,MAT_BUY,EA,,,20,0,0,20,20,,คต,5,0,5,
60,10101738,ลวดเย็บกระดาษ เบอร์ 10,1030,MAT_BUY,BOX,,,20,0,0,20,20,,คต,20,0,20,
