Display Warehouse Stocks of Material (For Monthly Count) October 2025,,,,,,,,,,,,,,,,,,
No.,material,Material Description,Plant,Batch,B.Un,เบิก,,สต๊อกใหญ่,,,,,Exp.สต๊อกใหญ่,Exp.สต๊อกเล็ก,สต๊อกเล็ก,,,ราคา
,,,,,,วันที่,จำนวน,เดิม,รับเข้า,ออก,คงเหลือ,ระบบ,,,เดิม,รับเข้า,คงเหลือ,(บาท)
174,20000514,"NSS 0.9% 1000ml, irrigation, plastic bott",1030,5E75X,BT,,,20,0,20,0,0,06/05/2030,สต26/02/2030,10,20,30,
175,20000587,Povidine iodine 10% 450ml,1030,149734,BT,ตค 68,3,1,3,1,3,3,11/07/2028,08/06/2027,1,0,1,
176,20000588,Povidine iodine 10% 30ml,1030,,BAG,,,0,0,0,0,0,,1/12/26 ซ,0,0,0,
177,20000657,"Sodium chloride 100ml (NSS, Plastic)",1030,4E731,BAG,,,300,0,300,0,0,4/5/29,4/5/29(300),300,0,300,
178,20000657,"Sodium chloride 100ml (NSS, Plastic)",1030,5G701,BAG,ตค 68,500,0,500,0,500,500,1/7/28, ,0,0,0,
179,20000658,"Sodium Chloride 1000 ml (NSS, Plastic)",1030,,BAG,,,0,0,0,0,0,,,0,0,0,
180,20000671,Sterile water for injection 10ml,1030,A25050,AMP,,,300,0,0,300,300,21/4/28,3/7/27,300,200,500,
181,20000671,Sterile water for injection 10ml,1030,,AMP,,,0,0,0,0,0,,,0,0,0,
182,20000856,Lubricanting jelly 50g,1030,6719021,TUB,,,2,0,1,1,1,1/7/2026,1/7/2026,1,0,1,
183,20001508,Ethyl Alcohol 70% 60ml,1030,,BT,,,0,0,0,0,0,,,0,0,0,
184,20001606,"Chlorhexidine mouthwash 0.12%, 300mlไม่ใช้แล้ว",1030,,BT,,,0,0,0,0,0,,,0,0,0,
185,20001613,"NSS injection 5ml, Plastic",1030,A25078,AMP,ตค 68,400,0,172,0,172,172,8/6/28,,0,0,0,
186,20001613,"NSS injection 5ml, Plastic",1030,A25046,AMP,,,400,228,400,228,228,15/4/28,15/4/28,300,0,300,
187,20001644,Ethyl alcohol 70% 450 ml,1030,C670161,BT,,,1,0,1,0,0,,22/08/2027,1,1,2,
188,20001644,Ethyl alcohol 70% 450 ml,1030,C680023,BT,ตค 68,3,0,3,1,2,2,28/04/2028,,0,1,1,
189,20001654,hydrogen peroxide mouthwash 1% 5L,1030,252/25,GAL,,,2,0,0,2,2,12/7/28,"22/3/26 , 12/5/26(2)",2,0,2,
190,30000004,"Absorb Haemostat, Surgical 5x7.5 cm",2030,,EA,,,0,0,0,0,0,,,0,0,0,
191,30000024,Blade Holder No.3,2030,MAT_BUY,EA,,,1,0,0,1,1,,,0,0,0,
192,30000079,Cold-Hot Pack,1030,MAT_BUY,EA,,,212,0,200,12,12,28/8/26,คต 23/8/26(30),30,200,230,155
193,30000082,"Conforming Bandage, Soft Kling 3"" (1ถุง=12ROL)",1030,MAT_BUY,ROL,,,24,0,0,24,24,"12/29(12),3/30(12) ", 10/28 ปช,24,0,24,14.02
194,30000097,"Needle Long, Disposable 27G",1030,MAT_BUY,BOX,,,1,0,0,1,1,31/01/2029,31/01/2029,1,0,1,
195,30000100,"Glove, Disposable Non-Powder",1030,MAT_BUY,BOX,ตค 68,60,10,60,60,10,10,"7/28(XS),6/28(S),5/28(M),5/28(L)","12/27(XS),10/28(S),11/28(M), 6/27,12/27(L)",40,60,100,
196,30000100,"Glove, Disposable Non-Powder",2030,MAT_BUY,BOX,,,0,0,0,0,0,,ปช (S11),0,0,0,
197,30000101,"Glove, Disposable Powder",1030,MAT_BUY,BOX,,,10,0,0,10,10,"5/28(XS), 6/28(S)","5/27 (S20)4/27 (S35) 1/4/2026,1/9/2026",20,60,80,
198,30000101,"Glove, Disposable Powder",2030,MAT_BUY,BOX,,,0,0,0,0,0,,4/27 (M20) /ปช (M21),0,0,0,
199,30000116,"Syringe, Disposable 3ml",1030,MAT_BUY,EA,,,1000,0,0,1000,1000,31/7/29,"คต 28/2/29(27), 31/05/29(9), 31/7/29(10)",2500,0,2500,14.02
200,30000117,"Syringe, Disposable 1ml (insulin)",1030,MAT_BUY,BOX,,,1,0,0,1,1,30/06/2027,,1,0,1,
201,30000118,"Syringe, Disposable 10ml (1:100 อัน)",1030,MAT_BUY,BOX,,,72,0,62,10,12,31/7/30(10) ,"31/5/29(3) 9/3/2030(12),31/7/30(60) ",50,62,112,228.97:BOX
202,30000119,"Syringe, Disposable 20ml (1:50 อัน)",1030,MAT_BUY,BOX,,,10,0,0,10,10,28/02/2029,"11 31/8/27(10)ลัง, คต 31/1/27(10)",30,0,30,
203,30000120,"Syringe, Disposable 5ml (1:100 อัน)",1030,MAT_BUY,BOX,,,10,0,0,10,10,30/9/2029,"31/5/29(50),30/9/2029(20)",40,0,40,
204,30000120,"Syringe, Disposable 5ml (1:100 อัน)",2030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
205,30000151,"Elastic Bandage 3""",1030,MAT_BUY,ROL,,,0,0,0,0,0,,,0,0,0,
206,30000152,"Elastic Bandage 4""",1030,MAT_BUY,ROL,,,0,0,0,0,0,,,0,0,0,
207,30000156,ELECTRODE-CARDIO(REDDOT). DISPOSABLE,1030,MAT_BUY,BOX,,,0,0,0,0,0,,19/5/26,1,0,1,
208,30000199,"Extension Tube, One way 18"" 45cm",2030,MAT_BUY,EA,,,100,0,0,100,100,02/2029, 9/27(100),60,0,60,7.94
209,30000218,Fixomull ขนาด 10 cm,1030,MAT_BUY,BOX,,,4,0,0,4,4,30/11/2028,"1/3/28(5), 30/11/28(6)",6,0,6,485.98:BOX
210,30000247,"Forceps, tissue, Adison",2030,MAT_BUY,EA,,,2,0,0,2,2,,,0,0,0,
211,30000275,"Gauze Drain ,Sterile 1/2 ""x2 yd.",1030,MAT_BUY,PAC,,,0,0,0,0,0,,,0,0,0,
212,30000280,"Gauze Pad, Sterile 2""x2"" (1pacใหญ่:100ea)",1030,MAT_BUY,PAC,,,20,0,0,20,20,07/2027,"11(20),คต(5),ซ 1/5/26(4), ปช(5)",28,0,28,4.25
213,30000281,"Gauze Pad, Sterile 3""x3"" (1pacเล็ก)",1030,MAT_BUY,PAC,,,50,0,0,50,50,13/5/28,"ปช,ซ13/12/27 ",30,0,30,9
214,30000281,"Gauze Pad, Sterile 3""x3"" (10EA)",2030,MAT_BUY,PAC,,,0,0,0,0,0,,,0,0,0,18.5
215,30000293,"Glove, Disposable Sterile L- Powder",1030,MAT_BUY,PAA,,,0,0,0,0,0,,,0,0,0,
216,30000294,"Glove, Disposable Sterile M, Powder",1030,MAT_BUY,PAA,,,200,0,0,200,200,05/2027,5/27(6) 1:50,200,0,200,7
217,30000295,"Glove, Disposable Sterile S, Powder",1030,MAT_BUY,PAA,,,200,0,0,200,200,06/2027,"3/27(9) 1:50,1/6/2027",150,0,150,7
218,30000300,Gown Disposable,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
219,30000317,"Needle, I.V.catheter No.18",1030,MAT_BUY,BOX,,,2,0,0,2,2,31/1/2030,31/1/27,1,0,1,
220,30000318,"Needle, I.V.catheter No.20",1030,MAT_BUY,BOX,,,2,0,0,2,2,30/11/2029,,1,0,1,
221,30000318,"Needle, I.V.catheter No.20",2030,MAT_BUY,BOX,,,0,0,0,0,0,,"30/9/27,30/06/2028",0,0,0,
222,30000319,"Needle, I.V.catheter No.22",1030,MAT_BUY,BOX,,,4,0,0,4,4,"30/11/28,30/4/29 ","31/8/28,30/11/2028",2,0,2,
223,30000319,"Needle, I.V.catheter No.22",2030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
224,30000351,Mask N95,1030,MAT_BUY,EA,,,0,0,0,0,0,,,100,0,100,
225,30000354,Micropore (1x12),1030,MAT_BUY,ROL,,,24,0,0,24,24,16/3/30,"3/29, 12/29",12,12,24,
226,30000354,Micropore (1x12),2030,MAT_BUY,ROL,,,0,0,0,0,0,,,0,0,0,
227,30000363,"Nasal, Air way 6.0",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
228,30000364,"Nasal, Air way 6.5",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
229,30000365,"Nasal, Air way 7.0",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
230,30000370,"Needle, Disposable 18Gx1 1/2""",1030,MAT_BUY,BOX,,,5,0,0,5,5,31/3/30, 30/6/29(8) 31/3/30(20),5,20,25,
231,30000372,"Needle, Disposable 20Gx1""",1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
232,30000373,"Needle, Disposable 20Gx1.5""",1030,MAT_BUY,BOX,,,10,0,6,4,4,30/9/29,"31/5/28,30/4/2029",5,6,11,
233,30000374,"Needle, Disposable 21Gx1.5""",1030,MAT_BUY,BOX,,,9,0,2,7,7,"28/02/2030(2),31/3/30(7)","30/4/28, 31/05/2029,31/10/2029",2,2,4,
234,30000377,"Needle, Disposable 22Gx1.5""",1030,MAT_BUY,BOX,,,10,0,0,10,10,"30/11/29(2),31/1/30(3),28/2/28(5)",30/4/2029,2,0,2,
235,30000377,"Needle, Disposable 22Gx1.5""",2030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
236,30000378,"Needle, Disoisable 23Gx1""",1030,MAT_BUY,BOX,,,4,0,0,4,4,"31/6/29(1),28/2/30(5) ","31/05/2028,31/6/29",3,0,3,
237,30000379,"Needle, Disposable 23Gx1.5""",1030,MAT_BUY,BOX,,,5,0,0,5,5,28/2/30(5),,0,0,0,
238,30000380,"Needle, Disposable 24Gx1""",1030,MAT_BUY,BOX,,,0,0,0,0,0,31/3/2529,31/3/2529,3,0,3,
239,30000382,"Needle, Disoisable 25Gx1",1030,MAT_BUY,BOX,,,6,0,2,4,4,31/12/27(6),31/12/2027,3,2,5,
240,30000382,"Needle, Disoisable 25Gx1",2030,MAT_BUY,BOX,,,0,0,0,0,0,,31/5/27,0,0,0,
241,30000384,"Needle, Disposable 27G(1/2)""",1030,MAT_BUY,BOX,,,2,0,0,2,2,31/12/29,1/3/26,1,1,2,
242,30000431,Oxygen Canula,1030,MAT_BUY,EA,,,70,0,50,20,20,3/30(40),3/30(20),0,50,50,42.06
243,30000432,Oxygen Canula (เด็ก),1030,MAT_BUY,EA,,,25,0,0,25,25,03/2029,04/2029,5,0,5,51.4
244,30000450,"Plaster 1"" (ชนิดพลาสติก)",1030,MAT_BUY,EA,,,200,0,0,200,200,03/12/2029," 05/10/2027,08/11/2027",300,0,300,
245,30000450,"Plaster 1"" (ชนิดพลาสติก)",2030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
246,30000612,"Rounger Forcep, End cutting",2030,MAT_BUY,EA,,,1,0,0,1,1,,,1,0,1,
247,30000649,"Self Adherent Wrap, Coban 1583(3M)",1030,MAT_BUY,ROL,มิ.ย.67,12,0,0,0,0,0,"*ตาม(1)18/2/2568,(2)3/4/2568",,1,0,1,
248,30000652,Set Blood,1030,MAT_BUY,EA,,,30,0,0,30,30,05/2026,ซ 1/5/26,10,0,10,
249,30000683,SPONGOSTAN gel foam 1x1x1 cm,1030,MAT_BUY,BOX,,,1,0,0,1,1,06/11/28 ,13/12/26,1,0,1,
250,30000700,"steri-strip,3M R.1541 (1:50)",1030,MAT_BUY,BOX,,,1,0,0,1,1,16/03/2030,16/03/2030,1,0,1,
251,30000701,Stomach Tube (NG tube) No14,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
252,30000702,Stomach Tube (NG tube) No16,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
253,30000707,SUCTION DISPOSABLE NO.12,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
254,30000709,SUCTION DISPOSABLE NO.14,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
255,30000711,SUCTION DISPOSABLE NO.16,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
256,30000721,"Surgical Blade, Stainless No.11",1030,MAT_BUY,EA,,,1,0,0,1,1,31/1/28,,1,0,1,
257,30000722,"Surgical Blade, Stainless No.15",2030,MAT_BUY,EA,,,0,0,0,0,0,,ไม่ค่อยได้ใช้,0,0,0,
258,30000737,"Mask, Surgical คล้องหู 3 ชั้น (1ลัง:20BOX)",1030,MAT_BUY,BOX,,,20,0,20,0,0,,"23/4/30,5/6/30",8,20,28,
259,30000741,"Silk,Surgical No.3/0 (1:24)",1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
260,30000742,Syringe feed อาหาร ขนาด 50 cc.,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
261,30000749,Syringr. Disposable 50 ml,1030,MAT_BUY,EA,,,30,0,0,30,30,31/05/2029,ปช 30/4/28,4,0,4,
262,30000763,Thermometer (วัดไข้ทางปาก),1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
263,30000765,Three-way Stopclock (1x50),2030,MAT_BUY,EA,,,50,0,0,50,50,06/2027,ซ(20) 1/6/27,60,0,60,16.82
264,30000771,"Transparent Dressing, Tegaderm 6x7 cm",1030,MAT_BUY,EA,,,300,0,0,300,300,"9/12/27(100), 14/1/28(200)",ปช01/05/2027(100),200,200,400,
265,30000773,"Transparent Dressing, Tegaderm 15x20 cm",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
266,30000773,"Transparent Dressing, Tegaderm 15x20 cm",2030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
267,30000774,"Transparent Dressing, Tegaderm 4.4x4.4 cm",1030,MAT_BUY,EA,,,400,0,0,400,400,22/12/27(4),23/01/2027(200),0,200,200,
268,30000774,"Transparent Dressing, Tegaderm 4.4x4.4 cm",2030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
269,30000775,Transpore (1x12),1030,MAT_BUY,ROL,,,24,0,12,12,12,27/1/30(12) ,"6/10/29(12),27/1/30(12) ",12,12,24,
270,30000902,Test strip แผ่นตรวจวัดระดับน้ำตาล,1030,MAT_BUY,BOX,,,0,0,0,0,0,,30/11/25,1,1,2,
271,30000905,Blue pad (แผ่นรองซับ) 45x70 cm,1030,MAT_BUY,PAC,,,6,0,0,6,6,,ซ,3,0,3,
272,30000907,ไม้กดลิ้น (100ชิ้น/กล่อง),1030,MAT_BUY,BOX,,,40,0,0,40,40,10/09/2029,"ซ 10/9/28,10//09/2029",12,0,12,
273,30000912,แว่นตาป้องกันเลือดและของเหลว ,1030,MAT_BUY,EA,,,7,0,0,7,7,,,0,0,0,
274,30000929,เสื้อพลาสติกกันเปื้อน 28x55 นิ้ว,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
275,30000930,Cover head หมวกกระดาษ (1:50),1030,MAT_BUY,BAG,,,3,0,0,3,3,11/2/30,ซ,3,0,3,
276,30000934,Saliva Suction (หลอดดูดน้ำลาย)BOX=BAG,1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
277,30000943,Silk Suture Ethilon3/0(W1621)ใช้30001874,2030,MAT_BUY,EA,,,0,0,0,0,0,30/9/29 รอเข้าระบบ,30/9/29,1,0,1,
278,30000957,Silk Suture Mersilk3/0 (W328H),1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
279,30000959,ไหมเย็บ Silk No.4/0(W.501),2030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
280,30000988,ไหมเย็บแผล NO.3/0,1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
281,30001023,แก้วยาน้ำ,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
282,30001029,ซองบรรจุเวชภัณฑ์แบบไม่ขยายข้าง 10ซม,1030,MAT_BUY,ROL,,,0,0,0,0,0,15/04/2026,,1,0,1,
283,30001029,ซองบรรจุเวชภัณฑ์แบบไม่ขยายข้าง 10ซม,2030,MAT_BUY,ROL,,,0,0,0,0,0,,,0,0,0,
284,30001031,ซองบรรจุเวชภัณฑ์แบบไม่ขยายข้าง 5ซม,2030,MAT_BUY,ROL,,,0,0,0,0,0,,,3,0,3,
285,30001033,ซองบรรจุเวชภัณฑ์แบบไม่ขยายข้าง 7.5ซม.,1030,MAT_BUY,ROL,,,0,0,0,0,0,,,0,0,0,
286,30001075,STERILE STIP,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
287,30001123,Needle Holder,2030,MAT_BUY,EA,,,4,0,0,4,4,,,0,0,0,
288,30001146,ซองบรรจุเวชภัณฑ์ไม่ขยายข้าง 30cmx200m,2030,MAT_BUY,ROL,,,0,0,0,0,0,,,5,0,5,
289,30001155,"Silk Suture Vicryl 4/0 (W9443),1:12",1030,MAT_BUY,BOX,,,0,0,0,0,0,06/2029,"1/6/28 ,1/6/2029",1,0,1,
290,30001162,ซองบรรจุเวชภัณฑ์ไม่ขยายข้าง 15cmx200m,1030,MAT_BUY,ROL,,,0,0,0,0,0,,,12,0,12,
291,30001165,"Artery forseps, curve",1030,MAT_BUY,EA,,,19,0,0,19,19,,,15,0,15,
292,30001168,Silk Surture Vicryl 3/0 (W9444),1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
293,30001172,ซองบรรจุเวชภัณฑ์แบบขยายข้าง.30ซม.,1030,MAT_BUY,BOX,,,0,0,0,0,0,,27/11/2028,2,0,2,
294,30001173,"ซองบรรจุเวชภัณฑ์แบบไม่ขยายข้าง,30ซม.",1030,MAT_BUY,ROL,,,0,0,0,0,0,,,0,0,0,
295,30001196,"Silk suture vicryl 3/0 (VCP427H),1:36",1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
296,30001205,Cotton Bud (1:12),1030,MAT_BUY,PAC,,,24,0,0,24,24,,,12,0,12,
297,30001206,"ซองบรรจุเวชภัณฑ์ซ้อนขอบขยายข้าง,10ซม",1030,MAT_BUY,ROL,,,0,0,0,0,0,,27/11/2028,4,0,4,
298,30001206,"ซองบรรจุเวชภัณฑ์ซ้อนขอบขยายข้าง,10ซม",2030,MAT_BUY,ROL,,,0,0,0,0,0,,,0,0,0,
299,30001208,"ซองบรรจุเวชภัณฑ์ซ้อนขอบ,25ซม.",1030,MAT_BUY,ROL,,,0,0,0,0,0,,,0,0,0,
300,30001209,ซองบรรจุเวชภัณฑ์แบบขยายข้าง 25cmx100m,1030,MAT_BUY,ROL,,,0,0,0,0,0,,27/11/2028,2,0,2,
301,30001211,"Tissue retractor, Minnesota",2030,MAT_BUY,EA,,,2,0,0,2,2,,,0,0,0,
302,30001247,Oxygen mask with bag,1030,MAT_BUY,EA,สค 68,60,0,0,0,0,0,14/8/29,14/8/29,10,20,30,
303,30001251,ชุดพ่นยา,1030,MAT_BUY,EA,,,30,0,20,10,10,3/30(10),17/12/2025(20),0,20,20,
304,30001255,I.V. fluid set,1030,MAT_BUY,EA,,,500,0,500,0,0,,"1/4/2028, 6/29(500)",70,500,570,18.69
305,30001256,"Needle I.V. catheter no.24Gx1"" (1:50)",1030,MAT_BUY,BOX,,,4,0,0,4,4,30/11/2028,"31/1/26(1), 30/11/28(2)",1,0,1,
306,30001292,Bactigras(ชื่อเดิม Sofa Tulle),1030,MAT_BUY,BOX,,,1,0,0,1,0,01/09/2027 รอเข้าระบบ1,1/11/25(4ชิ้น),2,0,2,
307,30001318,"Transparent Dressing, Tegaderm, 10x12cm",1030,MAT_BUY,EA,,,100,0,0,100,100,19/10/2026,,100,0,100,
308,30001367,Penrose drain,,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
309,30001371,"Remival silicone tape 1""x5.5YD,3M (1:12)",1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
310,30001372,"Durapore 1""x10YD (1:12)",2030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
311,30001377,ซองบรรจุเวชภัณฑ์แบบขยายข้าง 20cmx100m,1030,MAT_BUY,ROL,,,0,0,0,0,0,,,0,0,0,
312,30001378,"ซองบรรจุเวชภัณฑ์แบบไม่ขยายข้าง,20cmx100m",1030,MAT_BUY,ROL,,,0,0,0,0,0,,,0,0,0,
313,30001379,"joseph, nasal scissors, 14 cm. curved ",1030,MAT_BUY,EA,,,15,0,0,15,15,,,0,0,0,
314,30001384,Alcohol hand Gel (1:1000ml),1030,MAT_BUY,BT,,,4,0,0,4,4,21/2/2028,21/2/2028,6,0,6,
315,30001387,Walker อุปกรณ์ช่วยพยุงเดิน,1030,MAT_BUY,EA,,,0,0,0,0,0,,,2,0,2,
316,30001408,สำลี 0.35g ปลอดเชื้อ Gamma,1030,MAT_BUY,PAC,,,40,0,0,40,40,18/4/28,"ซ,ปช 9/11/27",20,0,20,
317,30001410,Alcohol Pad (1Box:200EA),1030,MAT_BUY,BOX,,,100,0,0,100,100,1/7/28(100),ปช 15/6/27 (50),40,0,40,
318,30001418,Top Gauze,1030,MAT_BUY,EA,,,100,0,0,100,100,06/04/2028,,40,0,40,
319,30001419,"Gauze Drain,Sterile 1"" x 3 yd.",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
320,30001420,"Gauze Drain,Sterile 1/2"" x 3 yd.",1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
321,30001421,"Glove, Disposable Sterile XS - Powder",1030,MAT_BUY,PAA,,,0,0,0,0,0,,,0,0,0,
322,30001422,"Surplug Needle-Free,W/Extension,20cm",1030,MAT_BUY,BOX,,,8,0,0,8,8,9/6/28(8) แจ้งก่อนหมดอายุ 1.2 ปี, 29/04/2026(5),5,0,5,
323,30001423,"สำลีพันไม้ปลอดเชื้อ 6""sizeM(บรรจุ5ก้าน)",1030,MAT_BUY,PAC,,,100,0,0,100,100,31/10/27,31/10/27,450,0,450,
324,30001557,"Needle, Disposable 24Gx1.5"" (1 EA = 1 BOX) ",1030,MAT_BUY,EA,,,3,0,0,3,3,3/4/30(3),,0,0,0,
325,30001730,ชุดให้ความชื้นระบบปิดพร้อมหัวต่อ Aquapak,1030,MAT_BUY,SET,,,20,0,0,20,20,7/29,"27/2/27, 16/12/28",20,0,20,
326,30001826,Cuff BP Monitor,1030,MAT_BUY,EA,,,4,0,0,4,4,,,2,0,2,
327,30001833,"กระดาษห่อเครื่องมือ,60x60ซม.(1:100 PC)",1030,MAT_BUY,PAC,,,0,0,0,0,0,,,0,0,0,
328,30001834,กระดาษปิดหน้าอก 40x48ซม (1:25PC),2030,MAT_BUY,PAC,,,20,0,0,20,20,,,6,0,6,
329,30001837,ป้ายข้อมือสำหรับผู้ป่วย Admit,1030,MAT_BUY,EA,,,1300,0,0,1300,1300,,,200,0,200,
330,30001838,Leukostrip,,MAT_BUY,EA,มีค 68,2,0,1,1,0,0,01/11/2026 รอเข้า/ส่งเพิ่มอีก 1 กล่อง,1/11/26,0,1,1,
331,30001867,ภาชนะรองรับสารคัดหลั่ง ขนาด 1.5 ลิตร,1030,MAT_BUY,EA,,,100,0,100,0,0,,"30/10/2029, 31/12/29(100)",40,100,140,
332,30001870,Silk Suture Ethilon4/0 (EH7145H),1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
333,30001871,Silk Suture Ethilon5/0(1865G),1030,MAT_BUY,BOX,,,0,0,0,0,0,,30/6/29,1,0,1,
334,30001874,Silk Suture Ethilon3/0 (1669H),1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
335,30001875,Silk Suture Prolene4/0 (8669H),1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
336,30001876,Silk Suture Mersilk2/0 (685G),1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
337,30001885,ปลอกสวมหัวเครื่องวัดอุณหภูมิทางหู,1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
338,30001914,SILK Suture Mersilk ขนาด 3/0(W502H),1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
339,30001941,"Transpore white (1""x10YD)",1030,MAT_BUY,ROL,,,12,0,0,12,12,"25/2/27(2),9/9/27(1)",25/12/25(12),24,0,24,
340,30001981,แอลกอฮอล์เจล แบบขวดปั๊ม.500ml,2030,MAT_BUY,BT,,,10,0,0,10,10,09/08/2026,"ปช(16), ซ(2) 9/8/26  ",6,10,16,
341,30001982,เสื้อกาวน์ใช้แล้วทิ้ง สำหรับทันตแพทย์,1030,MAT_BUY,EA,,,0,0,0,0,0,,1/27 ปช,190,0,190,
342,30001983,เสื้อกาวน์ใช้แล้วทิ้ง สำหรัับผู้ช่วย,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
343,30001984,เสื้อกาวน์ใช้แล้วทิ้ง ใส่ล้างเครื่องมือ,1030,MAT_BUY,EA,,,100,0,0,100,100,19/12/2029,19/12/2029,80,0,80,
344,30001999,หน้ากากอนามัยชนิดN95,2030,MAT_BUY,EA,,,100,0,0,100,100,01/2027,,50,0,50,
345,30002032,Sealing pouch 5 cm. x 11 cm.,1030,MAT_BUY,PAC,,,0,0,0,0,0,,31/10/2026,0,0,0,
346,30002034,Sealing pouch 5 cm. x 20 cm.,1030,MAT_BUY,PAC,,,0,0,0,0,0,,27/11/2027,0,0,0,
347,30002041,Sealing pouch 7.5 cm. x 27 cm.,1030,MAT_BUY,PAC,,,0,0,0,0,0,,11/08/2028,0,0,0,
348,30002044,Sealing pouch 10 cm. x 21 cm.,1030,MAT_BUY,PAC,,,2,0,0,2,2,9/5/29,26/10/2028,0,0,0,
349,30002049,Sealing pouch 15 cm. x 23 cm.,1030,MAT_BUY,PAC,,,2,0,0,2,2,18/12/28,11/08/2028,0,0,0,
350,30002052,Sealing pouch 15 cm. x 43 cm.,1030,MAT_BUY,PAC,,,0,0,0,0,0,,27/11/2027,0,0,0,
351,30002061,Sealing pouch 30 cm. x 30 cm.,1030,MAT_BUY,PAC,,,0,0,0,0,0,,11/08/2028,10,0,10,
352,30002073,Cold-Hot Pack (MINI),2030,MAT_BUY,EA,,,0,0,0,0,0,,คต,24,0,24,
353,30002078,ไหมเย็บแผล 3/0 พร้อมเข็มเบอร์ 16 (1:24),1030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
354,40000042,"Mouth Mirror,4,1:12",1030,MAT_BUY,BOX,,,2,0,0,2,2,,ซ,3,0,3,
355,40000042,"Mouth Mirror,4,1:12",2030,MAT_BUY,BOX,,,0,0,0,0,0,,,0,0,0,
356,40001405,"Elastic Band, Bear,1/4"",4.5oz",1030,MAT_BUY,EA,,,50,0,0,50,50,02/10/2026,ซ 02/10/2026,30,0,30,
357,40001410,"Elastic Band, Impara,3/16"",6oz",1030,MAT_BUY,EA,,,100,0,0,100,100,26/09/2026,ซ 08/02/2026,45,0,45,
358,40001471,Explorer,2030,MAT_BUY,EA,,,1,0,0,1,1,,,0,0,0,
359,40001477,Face Shield,1030,MAT_BUY,EA,,,2,0,0,2,2,,,2,0,2,
360,40001478,Face Shield (Refill),1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
361,40001558,"Forcep,150",2030,MAT_BUY,EA,,,2,0,0,2,2,,,0,0,0,
362,40001561,"Forcep,151",2030,MAT_BUY,EA,,,2,0,0,2,2,,,0,0,0,
363,40002182,Molt Curette,2030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
364,40002184,"Molt Elevator, No.9",2030,MAT_BUY,EA,,,3,0,0,3,3,,,3,0,3,
365,40002256,Periosteal Retractor No.23,2030,MAT_BUY,EA,,,2,0,0,2,2,,,0,0,0,
366,40003864,Mouth Mirror With Handle,1030,MAT_BUY,SET,,,4,0,0,4,4,,,0,0,0,
367,40003970,"Cassette ใส่ Hand Instrument, ก.20.5xย.27.5",2030,MAT_BUY,SET,,,2,0,0,2,2,,,0,0,0,
